"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"RPS4Y1"	8.65885497003421	5.66368973851486	1259.42568812659	3.03427478156515e-18	8.7702678286359e-14
"EIF1AY"	5.67882707571249	4.22241914114195	759.697911456725	2.77051643238437e-16	2.72624819613004e-12
"USP9Y"	5.48310115233105	5.38891653939008	757.895577887379	2.82962378507824e-16	2.72624819613004e-12
"ZFY"	6.5575181745698	3.43819443202814	448.829836321397	2.88288639940882e-14	2.08317371221281e-10
"NLGN4Y"	6.27207616418281	4.27929880774581	388.31240908184	1.02063984365815e-13	5.90011480821901e-10
"KDM5D"	7.29989562002776	5.10778998895069	378.573793637682	1.27298392469661e-13	6.13238789323846e-10
"DDX3Y"	8.74470793072838	5.90343639119046	246.976283008	5.01628580637546e-12	2.07129607067823e-08
"UTY"	4.78441784311245	2.57649685198479	54.2975406328275	7.28608407089896e-07	0.00263246217481579
"TMSB4Y"	4.97068331472794	2.11392494599107	57.9768235938113	3.51729395324545e-06	0.0109220638445553
"PCDH11Y"	3.89037929707397	2.85126634746106	42.4888532407781	3.77873783716968e-06	0.0109220638445553
"ZFX"	-0.543473072584757	5.14702086481187	30.2079289278919	3.10320815859333e-05	0.0815410260145288
"ITGAM"	-2.21063775490956	2.73004066375062	19.51074938746	0.000325557088432386	0.784158507004139
"CD99"	0.711733244766169	7.14396409066031	17.6416346215965	0.000527804420434878	1
"PWP2"	-2.32033411912276	2.94034831316384	15.1410082738338	0.00105351667203384	1
"CCDC3"	-0.832603881753878	4.78321308164598	14.8741243638119	0.00113797189370068	1
"GATD3"	-1.87340300541016	3.76336272929547	14.5963050294308	0.00123399554590777	1
"NR2F1"	0.895414902923861	5.50578993494003	14.5001970410382	0.00126929181569214	1
"CSF3"	-4.41826612967812	2.90778245634994	13.9574540332212	0.00149103923319698	1
"SELE"	-3.0146658584451	3.19711193004231	13.8856428461819	0.00152349105189822	1
"PKD1P2"	-2.61366103161217	2.69424414933523	12.9211498891349	0.00204529634049113	1
"DDX3X"	-0.444546371455166	8.16599107624627	12.7777184074802	0.0021387512983808	1
"RPL10P9"	-3.67490734894996	1.59397428890417	12.7296413959686	0.00217113656533735	1
"RPS4X"	-0.378183590701144	8.30538439315145	12.2018390037176	0.00256512123024606	1
"SELL"	4.07896088881553	2.74579464668542	11.8308443867131	0.00288986081152099	1
"COL4A2"	-0.94755042101475	5.4859591717056	11.7630831100256	0.00295400750676728	1
"CXCL8"	-2.78462692112708	3.43733047006075	11.7502339373973	0.00296635000097282	1
"ERBB4"	1.03890939732865	3.48685915152862	11.72067549155	0.00299496239375449	1
"COL6A2"	-1.12510087346665	2.42398523494702	12.4489371511943	0.00308783409369863	1
"ZFP36"	-1.22635580338314	5.69771255382748	11.5457761739209	0.00317071288988065	1
"DNAJC27"	-0.766153320520979	3.68468605140616	11.0878319462455	0.00368813059047842	1
"TFRC"	-0.543476355638488	5.94370957219409	10.9635128097909	0.00384444753659669	1
"LAMC3"	-0.633825738951613	4.24165585097299	10.9397702672218	0.00387513683296973	1
"RNF217"	0.502201915407837	4.46954687555961	10.7902006896167	0.00407489168935511	1
"IPO5"	0.748600154352951	6.11133549662359	10.4594398594084	0.00455890450028546	1
"PNPLA4"	-0.449520662487641	4.52095113432121	10.2761972033802	0.00485456598937012	1
"ABCB8"	-0.488528146945556	4.41616702943516	10.0867193654404	0.00518307791054962	1
"TMPRSS5"	-1.61916434928211	4.68250560018456	10.0640920467666	0.00522394706262348	1
"JUNB"	-0.613566274094628	6.67295755927338	9.99904816583929	0.00534345411495858	1
"TMIE"	1.7265060303207	1.89309625973975	9.75508769122549	0.00581979753820459	1
"TNXA"	-1.48276144842868	1.82297838844124	9.47813123376736	0.00641919881978141	1
"KDM5C"	-0.413519435352256	6.13654114384557	9.42431849814326	0.00654352942145479	1
"IL6"	-2.26898383375864	2.19536635585796	9.33322417191982	0.00676020410956352	1
"VCAN"	0.360426194294218	6.68058698723257	9.14672880779439	0.00722938284668561	1
"LACC1"	0.340728214165619	5.74680223808977	8.79504970328804	0.00821705122788292	1
"SOST"	-2.28839667035514	1.2913160489641	8.9590227640199	0.00850429648590047	1
"PGAM2"	0.68210688218798	3.67014287272874	8.68710431811639	0.00854996303435919	1
"NAMPTP1"	-1.0891490055141	2.65497759154276	8.47345319362024	0.0092545472140107	1
"ALS2CL"	-0.478225031566268	4.11053043897042	8.64098560324355	0.00956796784014015	1
"PPP2R3B"	0.508744015983485	4.29145474369687	8.36926316541933	0.00962165997329237	1
"ANOS1"	0.669642300317857	5.27093013416973	8.327328898133	0.00977401503097634	1
"XPO1"	1.08424932122821	4.72284557931429	8.2395381100719	0.0101018442553447	1
"ASPN"	-1.16845245217634	2.25484424122909	8.23704298161352	0.0101113407024386	1
"AOC3"	-1.00188021849564	4.37139258724973	8.15329625260968	0.0104359827687727	1
"USO1"	-0.520472997888868	4.1083642190176	8.12489364702138	0.0105487356033879	1
"TRABD2B"	-0.901717230883574	2.62380206710814	7.94778665871143	0.0112835360145225	1
"SVIL"	-0.588746676576317	4.89640490469383	7.92532859529003	0.011380762993192	1
"VCL"	-0.723399149942513	3.02829755588274	8.13531973577281	0.011442086347112	1
"CPM"	-0.515189239581299	5.5567063172456	7.8908053557805	0.0115320687518297	1
"CYP26B1"	-1.29774877647163	3.66201005710894	7.69757336495091	0.012421945907759	1
"CX3CL1"	-0.662202665564156	6.04289846977648	7.68157962622316	0.0124990011680796	1
"TXLNGY"	2.64042718859337	1.27036757194845	18.064488121482	0.0126011871331666	1
"UNC5C"	0.780540623351372	4.64442309018794	7.5721787458395	0.0130407555223823	1
"MYO1C"	-0.433781551019266	5.5952203109872	7.50277692982136	0.0133981422357058	1
"GIGYF2"	0.391029304308871	5.78121671565611	7.47056458576789	0.0135677633594762	1
"DUSP1"	-0.56995607042569	7.03015805973686	7.42603952667002	0.0138062215306399	1
"RASSF9"	0.789836807805932	3.06468827383522	7.42354737795108	0.0138197075080799	1
"TYW1B"	0.838199250437922	2.94289340162186	7.37130395839635	0.0141058660847224	1
"VIPR1"	-0.775937062658168	2.9439975757777	7.35507481126397	0.0141961160239	1
"ARC"	-0.993557248636366	2.78066068009847	7.31722417146889	0.0144091452779607	1
"PERP"	-0.420490221759137	4.6506771964001	7.26847643519241	0.0146888393103895	1
"HOPX"	-0.481016032645722	5.33305043851663	7.14806869105725	0.0154063313953892	1
"ZIC1"	-0.352894200084989	5.26479780301894	7.13368901415895	0.0154946320531317	1
"GREB1"	0.347020766169722	5.10698919017513	7.11800089775758	0.0155916198233567	1
"LAMA3"	-0.803406320702232	3.7414755135938	7.10706793888615	0.0156596153891648	1
"ICAM1"	-1.21377200074343	4.51639933299965	7.09656451777076	0.0157252550609083	1
"LIF"	-1.93770019185039	2.17237846498011	6.98800243302724	0.016422216733073	1
"MSH6"	0.898664930565292	2.91637736711831	6.97289260771548	0.0165219593343286	1
"RRAGD"	0.392639391713745	4.79791733952931	6.94546643496386	0.0167047581057654	1
"SLC17A7"	-2.23618860389934	3.65647529200422	6.93120764246028	0.0168006969063835	1
"BCAN"	0.470145307950772	7.43322157971551	6.9232249062671	0.0168546797033653	1
"KIRREL1"	-0.555609577842565	3.63647381227732	6.91469496081358	0.0169125797176289	1
"RANGAP1"	0.631386133738643	4.88916454828958	6.88267095998436	0.0171319689924283	1
"TVP23C-CDRT4"	1.5531490032899	2.52027449060091	6.79659959377268	0.0177377419733712	1
"ZNF343"	0.559982529891702	3.66677733734133	7.88982812980689	0.0178965269611505	1
"POSTN"	-1.53955459833692	2.23925947303329	6.75131612765371	0.0180661476750533	1
"DUSP5"	-0.969000153489283	3.54863451146514	6.73317467916767	0.018199638316318	1
"CSRNP1"	-0.697640304068146	4.89266937133217	6.71606307534217	0.018326574237523	1
