"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_P53_PATHWAY%MSIGDBHALLMARK%HALLMARK_P53_PATHWAY",0.0504201680672269,0.512973552854394,-0.375402454512242,-1.28523400900782,11,167,"PERP, LIF, BTG2, TCN2, FOS, PLK3, HBEGF, JAG2, CCND2, AEN, EPHA2, TXNIP, TAP1, DGKA, INHBB, DCXR, RAB40C, DDB2, KLF4, TM4SF1, CCND3, TP63, ISCU, PHLDA3, S100A4, FBXW7, ADA, IRAG2, RPL36, SERTAD3, NINJ1, GM2A, EPS8L2, HINT1, PROCR, TRAF4, MDM2, GLS2, RGS16, CDKN1A, BTG1, PIDD1, SESN1, H2AJ, ALOX15B, FDXR, RNF19B, STEAP3"
"HALLMARK_MITOTIC_SPINDLE%MSIGDBHALLMARK%HALLMARK_MITOTIC_SPINDLE",0.197278911564626,0.613441279750293,0.392527306393082,1.14301116485552,144,144,"EZR, NF1, LATS1, OPHN1, BIN1, CNTRL, TSC1, MYO1E, TIAM1, PCGF5, LLGL1, DST, CDC42EP4, SSH2, MID1, SPTBN1, FLNB, MARCKS, RICTOR, CAPZB, STAU1, PREX1, ARHGAP5, MAPRE1, DOCK4, SHROOM1, RABGAP1, PPP4R2, ARHGAP27, ALMS1, DYNLL2, PAFAH1B1, AURKA, CLIP2, TUBD1, TLK1, ARFGEF1, STK38L, KATNA1, FGD6, RFC1, LRPPRC, KIF20B, WASF2, DOCK2, CYTH2, RAB3GAP1, BIRC5"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING%MSIGDBHALLMARK%HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0420899854862119,0.496630241506166,0.536688480975436,1.45435517252992,28,79,"GNA14, PIKFYVE, TIAM1, EGFR, DDIT3, PPP2R1B, ITPR2, MYD88, SQSTM1, RAC1, EIF4E, MAP3K7, PRKAA2, LCK, UBE2D3, SFN, CDKN1B, MAPK1, NFKBIB, RALB, VAV3, PLA2G12A, RIT1, TRAF2, PTEN, CAB39, STAT2, ACTR2, CDK4, ACTR3, SMAD2, PLCB1, RPS6KA3, TSC2, GNGT1, AKT1S1, SLA, PRKAG1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00377358490566038,0.379426847662142,-0.523326431017707,-1.76045590365086,0,143,"COL4A2, CXCL8, IL6, LAMA3, POSTN, TNFAIP3, CALD1, FLNA, COL4A1, IGFBP2, LAMC1, IL32, COL3A1, FSTL1, CXCL1, TIMP1, MGP, FOXC2, GADD45B, ACTA2, IGFBP4, TGFBI, CDH11, THBS1, PDLIM4, COMP, ITGB1, NNMT, CD59, BMP1, VCAM1, COL1A2, LOX, COL1A1, MMP14, FSTL3, LOXL1, CALU, COL5A3, TNFRSF12A, ITGB5, INHBA, PLAUR, SLIT3, SPP1, COLGALT1"
"HALLMARK_GLYCOLYSIS%MSIGDBHALLMARK%HALLMARK_GLYCOLYSIS",0.0780619111709287,0.52405268697737,0.448146424808244,1.31112759026632,57,148,"VCAN, PGAM2, RRAGD, P4HA1, MET, SOX9, PLOD2, FKBP4, PLOD1, ADORA2B, ME2, ALDH7A1, EXT2, RBCK1, P4HA2, RPE, EGFR, SRD5A3, NT5E, ZNF292, SDC3, VEGFA, GNPDA1, SDC2, CD44, GPC3, B3GAT3, IL13RA1, CLN6, SLC16A3, PYGL, DDIT4, AURKA, RARS1, SDC1, ECD, PYGB, MIF, AK4, AK3, HS2ST1, ALDOB"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING%MSIGDBHALLMARK%HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.507317073170732,0.759086701962299,0.417487822676098,0.96994285732664,311,28,"NOTCH1, PTCH1, RBPJ, HDAC11, MAML1, ADAM17, HDAC2, NUMB"
"HALLMARK_SPERMATOGENESIS%MSIGDBHALLMARK%HALLMARK_SPERMATOGENESIS",0.440340909090909,0.733753658992298,0.357192585510918,0.986890776836291,309,94,"SIRT1, ART3, TLE4, GSTM3, NPHP1, PIAS2, CHFR, HSPA4L, TSSK2, RAD17, NF2, SEPTIN4, TEKT2, LPIN1, JAM3, ZC3H14, PGS1, SLC12A2, TSN, AURKA"
"HALLMARK_APOPTOSIS%MSIGDBHALLMARK%HALLMARK_APOPTOSIS",0.0282685512367491,0.480864010704557,-0.43337361383952,-1.40661775924193,7,118,"IL6, BTG2, CDK2, BIRC3, KRT18, EBP, TIMP1, GSTM1, CCND2, GADD45B, TXNIP, TAP1, PLAT, IL1B, RARA, IRF1, IFITM3, TNFSF10, IGF2R, GPX3, PSEN2, TOP2A, TNFRSF12A, EMP1, ERBB2, NEDD9, CDKN1A, RHOT2, FDXR, BMF, FAS, GADD45A, IGFBP6, CD69, GPX4, PPP2R5B, CASP6"
"HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT",0.141078838174274,0.556266340613171,0.415029137995475,1.20429012443437,101,139,"HMGN2, TRA2B, SFPQ, STIL, YTHDC1, CCNA2, TLE3, MARCKS, PURA, SLC7A5, SRSF10, CUL4A, RBM14, PRPF4B, CCND1, NSD2, EWSR1, CDKN1B, CASP8AP2, ARID4A, CUL5, NUP50, CBX1, NCL, NOLC1, TFDP1, CTCF, NUP98, SLC12A2, PAFAH1B1, AURKA, RBL1, CDK4, EFNA5, KATNA1, EGF, RAD21, KIF20B, HUS1, BIRC5, SMARCC1, DDX39A, CKS2, CENPE, INCENP, MCM2, HIRA"
"HALLMARK_COMPLEMENT%MSIGDBHALLMARK%HALLMARK_COMPLEMENT",0.00377358490566038,0.379426847662142,-0.486293530101377,-1.61582457734197,0,135,"ITGAM, COL4A2, IL6, CPM, DUSP5, TNFAIP3, CXCL1, TIMP1, ATOX1, PLAT, IRF7, L3MBTL4, C2, GNB2, IRF1, SERPING1, CD59, PCSK9, EHD1, LCP2, F3, MT3, PLSCR1, MMP14, PLAUR, CDA, F5, FCER1G, F7, MMP15"
