name	description	GS.DETAILS	SIZE	ES	NES	pval	padj	FWER	Rank.at.Max	leading.edge.genes
HALLMARK_P53_PATHWAY%MSIGDBHALLMARK%HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY%MSIGDBHALLMARK%HALLMARK_P53_PATHWAY	Details	167	-0.375402454512242	-1.28698918002401	0.0285714285714286	0.36210271764164	0	28863	PERP,LIF,BTG2,TCN2,FOS,PLK3,HBEGF,JAG2,CCND2,AEN,EPHA2,TXNIP,TAP1,DGKA,INHBB,DCXR,RAB40C,DDB2,KLF4,TM4SF1,CCND3,TP63,ISCU,PHLDA3,S100A4,FBXW7,ADA,IRAG2,RPL36,SERTAD3,NINJ1,GM2A,EPS8L2,HINT1,PROCR,TRAF4,MDM2,GLS2,RGS16,CDKN1A,BTG1,PIDD1,SESN1,H2AJ,ALOX15B,FDXR,RNF19B,STEAP3
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details	143	-0.523326431017707	-1.75964884596248	0.00363636363636364	0.259822350753976	0	28893	COL4A2,CXCL8,IL6,LAMA3,POSTN,TNFAIP3,CALD1,FLNA,COL4A1,IGFBP2,LAMC1,IL32,COL3A1,FSTL1,CXCL1,TIMP1,MGP,FOXC2,GADD45B,ACTA2,IGFBP4,TGFBI,CDH11,THBS1,PDLIM4,COMP,ITGB1,NNMT,CD59,BMP1,VCAM1,COL1A2,LOX,COL1A1,MMP14,FSTL3,LOXL1,CALU,COL5A3,TNFRSF12A,ITGB5,INHBA,PLAUR,SLIT3,SPP1,COLGALT1
HALLMARK_APOPTOSIS%MSIGDBHALLMARK%HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS%MSIGDBHALLMARK%HALLMARK_APOPTOSIS	Details	118	-0.43337361383952	-1.40755514837574	0.022140221402214	0.334271305250454	0	28880	IL6,BTG2,CDK2,BIRC3,KRT18,EBP,TIMP1,GSTM1,CCND2,GADD45B,TXNIP,TAP1,PLAT,IL1B,RARA,IRF1,IFITM3,TNFSF10,IGF2R,GPX3,PSEN2,TOP2A,TNFRSF12A,EMP1,ERBB2,NEDD9,CDKN1A,RHOT2,FDXR,BMF,FAS,GADD45A,IGFBP6,CD69,GPX4,PPP2R5B,CASP6
HALLMARK_COMPLEMENT%MSIGDBHALLMARK%HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT%MSIGDBHALLMARK%HALLMARK_COMPLEMENT	Details	135	-0.486293530101377	-1.61941890890052	0.003690036900369	0.259822350753976	0	28903	ITGAM,COL4A2,IL6,CPM,DUSP5,TNFAIP3,CXCL1,TIMP1,ATOX1,PLAT,IRF7,L3MBTL4,C2,GNB2,IRF1,SERPING1,CD59,PCSK9,EHD1,LCP2,F3,MT3,PLSCR1,MMP14,PLAUR,CDA,F5,FCER1G,F7,MMP15
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details	157	-0.594090259441547	-2.0172856084858	0.00392156862745098	0.259822350753976	0	28890	ZFP36,JUNB,IL6,LIF,DUSP5,TNFAIP3,BTG2,CXCL2,FOS,PTGS2,CXCL3,RELB,BIRC3,ACKR3,NFKBIA,ZC3H12A,CXCL1,HBEGF,TRIP10,SOCS3,EFNA1,HES1,GADD45B,TAP1,IL1B,BCL2A1,CCNL1,EGR1,IRF1,FOSL2,IL15RA,NFKB2,NAMPT,MAP3K8,IFIH1,CCL20,EHD1,ETS2,KDM6B,KLF4,NR4A3,KLF2,SLC16A6,F3,SLC2A6,RIGI,IER2,NINJ1,INHBA,PLAUR,KLF10,PER1,CDKN1A,SLC2A3,BTG1,CD83,CCL2,SIK1,RNF19B
HALLMARK_CHOLESTEROL_HOMEOSTASIS%MSIGDBHALLMARK%HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS%MSIGDBHALLMARK%HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details	57	-0.471519202612007	-1.35717937975868	0.0545454545454545	0.427378952336008	0	28621	NIBAN1,EBP,PDK3,DHCR7,MVK,FDFT1,ACTG1,PCYT2,ACSS2,MVD,PLSCR1,TNFRSF12A,PLAUR,ACAT2,IDI1,LPL,ATF5,LDLR,CPEB2,FBXO6,TM7SF2,CXCL16,NFIL3,TP53INP1,TMEM97,FDPS
HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	Details	170	-0.507897020649983	-1.7361006401572	0.00420168067226891	0.259822350753976	0	28899	CSF3,SELE,CXCL8,IL6,CX3CL1,LIF,BTG2,OSM,PTGIR,LY6E,NFKBIA,HBEGF,TIMP1,TAPBP,NLRP3,PROK2,IL1B,IRF7,IFITM1,RGS1,IRF1,IL15RA,FPR1,NAMPT,CCL20,TNFSF10,OSMR,LCP2,IL18RAP,F3,MMP14,TNFRSF1B,C5AR1,INHBA,PLAUR,IL10,RGS16,MEP1A,NOD2,IRAK2,CDKN1A,SLC11A2,CCL2,MEFV,FZD5,OPRK1
HALLMARK_TGF_BETA_SIGNALING%MSIGDBHALLMARK%HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING%MSIGDBHALLMARK%HALLMARK_TGF_BETA_SIGNALING	Details	40	-0.445554543571899	-1.19646906849045	0.1875	0.581762093984781	0	28883	JUNB,FURIN,LTBP2,THBS1,FKBP1A,ID3,WWTR1,LEFTY2,ENG,KLF10,ID1
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details	164	-0.519583022973338	-1.77789399525019	0.00403225806451613	0.259822350753976	0	28880	IL6,TNFAIP3,IFI27,HELZ2,PTGS2,LY6E,NFKBIA,PML,OAS3,SOCS3,TAPBP,PARP14,VAMP5,TXNIP,NOD1,MX2,TAP1,XAF1,IRF7,PARP12,IRF1,IFITM3,SERPING1,IL15RA,FPR1,NAMPT,CSF2RB,CMPK2,IFIH1,OAS2,GBP4,VCAM1,ADAR,IFI44,PSMB10,ISG15,TNFSF10,LCP2,MX1,PLSCR1,RSAD2,ST8SIA4,RIGI,ZNFX1,IFI44L,HLA-B,MT2A,SELP,PTPN1,CDKN1A,BTG1,IL7,RNF31,HLA-A,OGFR,MVP,EPSTI1,CMTR1,CCL2,IFIT1,IFIT3,FAS,ARL4A
HALLMARK_IL6_JAK_STAT3_SIGNALING%MSIGDBHALLMARK%HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING%MSIGDBHALLMARK%HALLMARK_IL6_JAK_STAT3_SIGNALING	Details	76	-0.521301040336585	-1.58693924494273	0.00334448160535117	0.259822350753976	0	28880	IL6,CXCL3,CXCL1,TYK2,A2M,SOCS3,HAX1,IL1B,IRF1,IL15RA,ACVRL1,MAP3K8,CSF2RB,OSMR,TNFRSF12A,IL12RB1,TNFRSF1B,ITGA4,CSF2RA,LEPR,IL2RG,PTPN1,IL7,FAS,PDGFC,PIM1,IL1R1
